23,561294
2,4321193
10,659591
2,8066446
5,2195600
14,018562
8,5362200
28,752242
58,250070
2,0668136
68,125185
23,897557
4,3176267
18,002554
7,1178395
6,4543420
42,373039
3,4555093
0,6236302
13,822209
25,636261
35,094940
7,4040207
29,074222
9,7442441
15,996266
25,193405
6,2007210
6,2669052
24,592299
23,926367
10,447668
27,105207
8,2711395
31,652627
2,5432354
15,869372
14,465952
22,812772
0,8626715
23,450635
61,942208
1,7312129
40,779170
23,497490
54,510176
2,9037453
4,8669953
57,120950
0,4191305
3,1688887
14,711403
7,8819510
1,1239274
5,3216080
11,421984
56,654133
56,021227
6,4604253
2,9734160
72,008686
8,1602442
74,598680
38,795854
24,626608
20,676358
7,3054331
7,2583856
28,093033
0,4884497
6,3266504
5,4213372
17,483338
43,823993
25,191158
7,9750014
32,782815
15,945745
20,747545
0,7534748
4,0611782
13,996817
17,252237
21,210319
17,895579
44,525003
41,553674
49,700424
53,617321
23,969482
5,1108269
23,804723
42,171377
35,621090
5,5814954
74,311933
35,473887
18,628121
5,0222778
25,514744
1,1421254
0,9458941
16,814113
3,6141259
32,561633
8,7608345
0,1680778
7,9523039
29,009131
4,2410618
2,5396880
16,706646
12,435176
41,061713
18,216278
7,7877756
28,950378
32,526735
6,6437106
7,6463048
45,054910
1,6536923
36,172465
0,4719660
10,887071
12,470072
4,4444900
7,3598349
0,0388595
33,710679
38,210804
22,079988
22,089140
20,543545
37,661840
6,1162395
35,499126
2,1448677
20,734479
28,439993
47,872095
36,728682
46,311731
7,0545258
21,264469
37,055126
1,9136920
32,864792
27,625963
9,7076224
8,9644215
4,6555306
1,4566045
22,754491
9,5985123
21,316559
3,7885414
32,317221
5,2438444
38,807672
2,2889473
6,4365099
14,492788
4,9418596
12,497602
3,5553618
51,703644
39,759566
17,177645
28,057931
34,142732
9,5210213
18,624055
3,1763960
23,880956
24,482139
24,648750
10,408011
7,4878401
3,1084500
8,6761786
21,689057
9,7781121
38,030696
30,841450
4,5451610
10,640226
7,3987965
28,816653
2,7673613
5,6942138
10,212244
0,0260178
3,8295986
0,9745095
36,735945
22,290187
24,993201
37,667410
110,74825
