27,71380
32,67347
29,87942
32,63194
32,83890
38,96433
23,63811
36,52500
32,33806
29,15137
42,46262
35,77676
34,45796
28,01363
25,90518
27,18044
31,22298
29,59460
30,37396
27,68097
34,26175
24,39949
31,19658
31,71319
25,83921
31,67695
28,34167
28,74085
35,03787
24,64339
24,35234
33,97057
27,14103
24,36550
28,33638
30,18343
31,42297
21,93286
28,53983
29,99441
32,55948
27,34737
32,04539
33,41405
29,97790
28,74565
26,03934
28,66993
25,00939
19,64400
23,87850
26,24797
32,13285
28,47631
23,97229
33,79514
30,62332
30,85954
29,95815
33,32301
30,98797
38,68879
30,81737
18,51621
34,32662
35,60998
29,61682
26,22531
24,48015
35,28980
32,18363
31,21630
31,92136
27,77713
30,17293
30,26551
35,40552
34,41629
26,73138
28,43392
28,53157
29,96015
28,14450
28,95936
31,41593
28,00309
21,85978
24,00917
24,84375
27,22956
34,27984
33,09007
21,81117
29,49835
32,29001
30,03024
26,84896
27,35373
28,61399
32,18411
32,51978
28,66319
34,08897
29,56799
30,03752
27,76345
28,29010
33,67390
33,69945
29,96161
39,66833
24,78635
36,57505
26,66815
30,00006
31,98974
32,45693
33,06903
32,87789
26,96533
24,80127
29,26386
23,37670
25,54661
30,96341
38,38978
19,44467
32,13171
32,43661
37,77071
28,08972
27,22662
26,48568
34,43154
36,72400
36,57053
31,76405
29,47676
25,99297
28,52984
30,49111
29,44293
26,11062
30,20016
29,58128
27,67705
25,60027
24,70281
33,87625
26,36842
32,69771
31,18191
30,49498
29,91361
33,85510
28,27987
32,89809
34,44044
36,19453
33,07392
30,49900
31,30279
33,72439
30,52188
25,42882
29,27828
31,33537
29,43802
27,78434
28,76107
32,44819
30,37383
32,86252
27,16415
31,67958
31,23187
24,49742
28,50975
34,94797
21,84158
29,72442
29,31576
27,43064
23,13929
24,72856
31,12214
30,47014
31,18154
33,55403
33,95421
35,42696
18,80984
26,21639
26,13441
23,33978
29,01145
27,72771
34,95823
32,38515
28,29599
